item_code,item_name,item_group,stock_uom,description,is_stock_item,valuation_rate
ABR-PT-01,Angle Grinder 4 Inch Electric,Power & Pneumatic Tools,Nos,Electric angle grinder 4 inch for cutting and grinding wheels,1,2400.00
ABR-PT-02,Angle Grinder 7 Inch Electric,Power & Pneumatic Tools,Nos,Electric angle grinder 7 inch for heavy duty grinding,1,5200.00
ABR-PT-03,Die Grinder Pneumatic,Power & Pneumatic Tools,Nos,Pneumatic die grinder for fine finishing work,1,3800.00
ABR-PT-04,Straight Grinder Pneumatic,Power & Pneumatic Tools,Nos,Pneumatic straight grinder for tool room finishing,1,4600.00
ABR-PT-05,Belt Sander Pneumatic,Power & Pneumatic Tools,Nos,Pneumatic belt sander for surface preparation,1,6200.00
ABR-PT-06,Random Orbital Sander Electric,Power & Pneumatic Tools,Nos,Electric random orbital sander for finishing work,1,3200.00
ABR-CN-01,Wool Polishing Pad,Polishing Consumables & Accessories,Nos,Lambswool polishing pad for mirror finish buffing,1,320.00
ABR-CN-02,Foam Polishing Pad,Polishing Consumables & Accessories,Nos,Foam polishing pad for fine finishing and waxing,1,180.00
ABR-CN-03,Wire Brush Cup Type,Polishing Consumables & Accessories,Nos,Cup type wire brush for angle grinder deburring,1,145.00
ABR-CN-04,Nylon Abrasive Brush,Polishing Consumables & Accessories,Nos,Nylon abrasive filament brush for surface conditioning,1,210.00
ABR-CN-05,Emery Sheet 230x280mm,Polishing Consumables & Accessories,Nos,Emery abrasive sheet 230x280mm for hand sanding,1,12.00
ABR-CN-06,Emery Cloth Roll 50m,Polishing Consumables & Accessories,Nos,Emery cloth roll 50 metre for workshop use,1,950.00
ABR-CN-07,Abrasive Tool Kit Fabrication,Polishing Consumables & Accessories,Set,Assorted abrasive tool kit for metal fabrication workshops,1,4200.00
ABR-CN-08,Abrasive Tool Kit Automotive,Polishing Consumables & Accessories,Set,Assorted abrasive and polishing kit for auto body shops,1,3600.00
ABR-CN-09,Buffing Compound Bar,Polishing Consumables & Accessories,Nos,Buffing and polishing compound bar for mirror finishing,1,220.00
ABR-CN-10,Polishing Mop Cloth,Polishing Consumables & Accessories,Nos,Cotton mop cloth wheel for buffing machines,1,95.00
